ts,gpu_busy_pct,foreign_chromium_n,foreign_chromium_cpu_pct,my_chromium_n,my_chromium_cpu_pct,load1
10:45:01,0,8,21.9,0,0.0,5.85
10:45:02,0,8,20.8,0,0.0,5.85
10:45:03,0,8,15.9,0,0.0,5.70
10:45:04,0,8,8.0,0,0.0,5.70
10:45:05,0,8,15.9,0,0.0,5.70
10:45:06,0,8,8.9,0,0.0,5.70
10:45:07,0,14,-176.0,0,0.0,5.70
10:45:08,0,14,63.6,0,0.0,5.72
10:45:09,0,15,8.9,0,0.0,5.72
10:45:10,0,15,6.0,0,0.0,5.72
10:45:11,0,15,9.9,0,0.0,5.72
10:45:12,0,15,13.9,0,0.0,5.72
10:45:13,0,15,11.9,0,0.0,5.58
10:45:14,0,15,17.9,0,0.0,5.58
10:45:15,0,15,17.9,0,0.0,5.58
10:45:16,0,15,8.0,0,0.0,5.58
10:45:17,0,9,-162.0,0,0.0,5.58
10:45:18,0,14,59.6,0,0.0,5.46
10:45:19,0,8,-117.4,0,0.0,5.46
10:45:20,0,8,2.0,0,0.0,5.46
10:45:21,0,8,2.0,0,0.0,5.46
10:45:22,0,8,3.0,0,0.0,5.46
10:45:23,0,9,2.0,0,0.0,5.26
10:45:24,0,9,4.0,0,0.0,5.26
10:45:25,0,9,0.0,0,0.0,5.26
10:45:26,0,9,2.0,0,0.0,5.26
10:45:27,0,9,2.0,0,0.0,5.26
10:45:28,0,9,2.0,0,0.0,5.24
10:45:29,0,8,4.0,0,0.0,5.24
10:45:30,0,11,6.0,0,0.0,5.24
10:45:31,0,8,11.9,0,0.0,5.24
10:45:32,0,8,3.0,0,0.0,5.24
10:45:33,0,8,1.0,0,0.0,5.06
10:45:34,0,8,-83.5,0,0.0,5.06
10:45:35,0,9,25.8,0,0.0,5.06
10:45:36,0,10,13.9,0,0.0,5.06
10:45:37,0,9,9.9,0,0.0,5.06
10:45:38,0,9,15.9,0,0.0,4.89
10:45:39,0,9,27.9,0,0.0,4.89
10:45:40,0,9,1.0,0,0.0,4.89
10:45:41,0,9,2.0,0,0.0,4.89
10:45:42,0,9,2.0,0,0.0,4.89
10:45:43,0,9,1.0,0,0.0,4.66
10:45:44,0,9,1.0,0,0.0,4.66
10:45:45,80,9,2.0,0,0.0,4.66
10:45:46,0,9,1.0,0,0.0,4.66
10:45:47,0,9,2.0,0,0.0,4.66
10:45:48,0,9,1.0,0,0.0,4.45
10:45:49,0,9,4.0,0,0.0,4.45
10:45:50,0,9,10.9,0,0.0,4.45
10:45:51,0,9,0.0,0,0.0,4.45
10:45:52,0,9,1.0,0,0.0,4.45
10:45:53,0,9,2.0,0,0.0,4.33
10:45:54,0,15,-158.1,0,0.0,4.33
10:45:55,0,15,0.0,0,0.0,4.33
